type,time,epoch,epoch_time,lr,train_loss,train_loss_bbox,train_loss_giou,train_loss_score,train_loss_rank_raw,train_loss_rank,train_loss_text_negative,train_text_negative_queries,map50,map50_95,precision,recall,tp,fp,num_gt,num_pred,valid_samples,skipped_empty_gt,avg_selected_per_sample,eval_loop_time,eval_metric_time,lambda_bbox,lambda_giou,lambda_score,lambda_rank_max,pos_weight,quality_warmup_epoch,rank_start_epoch,rank_warmup_epoch,rank_alpha_min,negative_sample_ratio,max_query_loss_weight,use_negative_queries_in_val
epoch,1782293891.9822624,21,1131.40365725616,9.892893469011633e-05,0.7587335705757141,0.017844701185822487,0.2625836730003357,0.07216602563858032,0.11882634460926056,1.0621272849675734e-05,0.00017213595856446773,7621,0.2856590151786804,0.15330132842063904,0.20422568884107345,0.49267526025896125,34169,133141,69354,167310,38008,0,4.401968006735424,30.814205391099676,0.2578058331273496,5.0,2.0,2.0,0.3,1.0,10,20,100,0.0,0.05,10.0,False
epoch,1782295063.4783063,22,1164.6137954459991,9.882108587911825e-05,0.7534293532371521,0.01757981814444065,0.25951895117759705,0.07322490960359573,0.11829039454460144,4.201671981718391e-05,3.836745963781141e-05,7621,0.2859277129173279,0.15421627461910248,0.2100733616916343,0.49133431381030657,34076,128134,69354,162210,38008,0,4.267785729320143,32.268862758995965,0.22526190080679953,5.0,2.0,2.0,0.3,1.0,10,20,100,0.0,0.05,10.0,False
epoch,1782296211.8290222,23,1140.2327218649443,9.870813255138563e-05,0.7522091269493103,0.017565598711371422,0.2587316632270813,0.07341023534536362,0.11795442551374435,9.36385040404275e-05,0.0001398510648868978,7621,0.28610527515411377,0.15353962779045105,0.21186587585592057,0.4934250367678865,34221,127301,69354,161522,38008,0,4.249684276994317,30.47945616208017,0.23711781995370984,5.0,2.0,2.0,0.3,1.0,10,20,100,0.0,0.05,10.0,False
epoch,1782297282.0785487,24,1060.9333292818628,9.859008715421203e-05,0.7527450323104858,0.017656711861491203,0.25900721549987793,0.07314073294401169,0.11829468607902527,0.0001658111868891865,6.518277223221958e-05,7621,0.28601232171058655,0.15219050645828247,0.2065648025123807,0.4931654987455662,34203,131377,69354,165580,38008,0,4.3564512734161225,29.403982904041186,0.2238518421072513,5.0,2.0,2.0,0.3,1.0,10,20,100,0.0,0.05,10.0,False
epoch,1782298499.2666132,25,1209.0816447727848,9.846696269602964e-05,0.7460248470306396,0.017368536442518234,0.2559773325920105,0.07348515093326569,0.11850491911172867,0.00025779582210816443,0.0002012286422541365,7621,1.0997570753097534,0.03875797986984253,0.3842788636684418,0.06855644285678864,0.13619071245193481,0.0002962260041385889,0.0,0,0.2866700291633606,0.15312401950359344,0.2086266702862486,0.49864463477232746,34583,131182,69354,165765,38008,0,4.361318669753736,143.8886501318775,0.23317135102115571,5.0,2.0,2.0,0.3,1.0,10,20,100,0.0,0.05,10.0,False
epoch,1782299599.246596,26,1090.2338365728501,9.833877274497584e-05,0.7473766207695007,0.0172285083681345,0.256603866815567,0.07382974028587341,0.1185012236237526,0.0003686673881020397,4.089935464435257e-05,7621,0.2860700786113739,0.15371224284172058,0.2150763634990655,0.49280502927012143,34178,124733,69354,158911,38008,0,4.180988213007788,29.85909049399197,0.2346747680567205,5.0,2.0,2.0,0.3,1.0,10,20,100,0.0,0.05,10.0,False
epoch,1782300682.7472658,27,1075.9361959390808,9.820553142739803e-05,0.7450191974639893,0.017054690048098564,0.2554694414138794,0.07415378838777542,0.11873022466897964,0.0004991899477317929,9.900405711960047e-05,7621,0.2874063551425934,0.15304246544837952,0.21146887231371392,0.4954580846093953,34362,128130,69354,162492,38008,0,4.275205219953694,30.47413840284571,0.2098828840535134,5.0,2.0,2.0,0.3,1.0,10,20,100,0.0,0.05,10.0,False
epoch,1782301745.4898713,28,1055.6201258951332,9.80672534262969e-05,0.7438898682594299,0.017071140930056572,0.2554015517234802,0.07354214787483215,0.11822126805782318,0.000644695945084095,3.83304686693009e-05,7621,0.28744909167289734,0.15286874771118164,0.21291691366884027,0.4919831588661072,34121,126134,69354,160255,38008,0,4.216349189644285,30.146132713882253,0.21915227500721812,5.0,2.0,2.0,0.3,1.0,10,20,100,0.0,0.05,10.0,False
epoch,1782302847.2167175,29,1094.0775105119683,9.792395397970834e-05,0.7442759275436401,0.01714242622256279,0.2551931142807007,0.0736827552318573,0.11833544075489044,0.0008110002381727099,6.376017699949443e-05,7621,0.2883042097091675,0.15320999920368195,0.21858123276249117,0.49137757014735994,34079,121831,69354,155910,38008,0,4.10203115133656,29.726530154934153,0.2336345489602536,5.0,2.0,2.0,0.3,1.0,10,20,100,0.0,0.05,10.0,False
epoch,1782304063.4330256,30,1207.6678744298406,9.777564887902432e-05,0.7428048253059387,0.017194490879774094,0.2543320953845978,0.07358918339014053,0.11784406006336212,0.0009898720309138298,3.809072222793475e-05,7621,1.106187105178833,0.03874966874718666,0.38711604475975037,0.06852804869413376,0.13694879412651062,0.0011503947898745537,0.0,0,0.286792129278183,0.1537119448184967,0.2101723413198823,0.4902384866049543,34000,127772,69354,161772,38008,0,4.256261839612713,146.28820957802236,0.22175281797535717,5.0,2.0,2.0,0.3,1.0,10,20,100,0.0,0.05,10.0,False
