type,time,epoch,lr,train_loss,train_loss_bbox,train_loss_giou,train_loss_score,train_loss_rank_raw,train_loss_rank,map50,map50_95,precision,recall,tp,fp,num_gt,num_pred,valid_samples,skipped_empty_gt,avg_selected_per_sample,lambda_bbox,lambda_giou,lambda_score,lambda_rank_max,pos_weight,quality_warmup_epoch,rank_start_epoch,rank_warmup_epoch,rank_alpha_min,amp_dtype,allow_tf32,channels_last,query_budget_batching
epoch,1781855721.6456409,49,9.1447725192959e-05,1.9240188598632812,0.08622601628303528,0.6567971706390381,0.08263885229825974,0.12037632614374161,0.0028608860448002815,0.06665251404047012,0.02612590661155991,0.050725806451612905,0.3173695496783417,7548,141252,23783,148800,12669,0,11.745204830689083,4.346666666666667,2.0,2.8166666666666664,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781857984.4887288,50,9.110169069108842e-05,1.916425347328186,0.08591429144144058,0.6528995037078857,0.08302049338817596,0.11963467299938202,0.0031050434336066246,2.0043561458587646,0.09499805420637131,0.6797541379928589,0.08118594437837601,0.12190447002649307,0.003163318382576108,0.06569568812847137,0.02628073067207879,0.05248979647089879,0.3260732455955935,7755,139988,23783,147743,12669,0,11.661772831320546,4.333333333333333,2.0,2.833333333333333,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781859925.7862372,51,9.074774489454325e-05,1.9266451597213745,0.08631736785173416,0.6563164591789246,0.08341698348522186,0.12011772394180298,0.003384276991710067,0.0652845948934555,0.02500074106246757,0.05361935931488321,0.3217003742168776,7651,135040,23783,142691,12669,0,11.263004183439893,4.32,2.0,2.85,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781861887.5014524,52,9.038784350594948e-05,1.9091150760650635,0.08440396934747696,0.6515794396400452,0.08330187201499939,0.11989473551511765,0.003655429231002927,0.06613728404045105,0.028173173786490223,0.05290702089906724,0.3222049362990371,7663,137176,23783,144839,12669,0,11.432551898334518,4.306666666666667,2.0,2.8666666666666667,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781863880.0836356,53,9.002417390106703e-05,1.894565224647522,0.08395661413669586,0.6451345682144165,0.0832182914018631,0.11877752840518951,0.0038997021038085222,0.06645730137825012,0.02653813032520702,0.05403295928357719,0.33183366270024806,7892,138167,23783,146059,12669,0,11.528849948693662,4.293333333333333,2.0,2.8833333333333333,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781865828.7335877,54,8.965289229755318e-05,1.8974957466125488,0.08342116326093674,0.6469371318817139,0.08357846736907959,0.11936700344085693,0.0042012277990579605,0.0674402117729187,0.025987199479641277,0.055480864662448,0.33141319429844845,7882,134185,23783,142067,12669,0,11.213750098666035,4.28,2.0,2.9,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781868055.3400967,55,8.927636572000146e-05,1.8978320360183716,0.08300025761127472,0.6475796103477478,0.08367098867893219,0.11942475289106369,0.004494011402130127,1.97016179561615,0.09102682024240494,0.6680908203125,0.08263863623142242,0.12143807113170624,0.004567810799926519,0.07167839258909225,0.029609962753602302,0.0570995311004116,0.34356473111045704,8171,134930,23783,143101,12669,0,11.295366642986819,4.266666666666667,2.0,2.9166666666666665,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781870050.1787899,56,8.889246465523932e-05,1.9016480445861816,0.08347133547067642,0.6470898389816284,0.084431491792202,0.11910141259431839,0.004772040992975235,0.06925350427627563,0.03082116735895397,0.055745431493067994,0.34015893705588024,8090,137034,23783,145124,12669,0,11.455047754361038,4.253333333333333,2.0,2.9333333333333336,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781872153.123324,57,8.850312962408229e-05,1.895450472831726,0.08311433345079422,0.6436483263969421,0.08496881276369095,0.11971395462751389,0.0050917211920022964,0.06644947081804276,0.030036402319092305,0.05441481481481481,0.3088760879619897,7346,127654,23783,135000,12669,0,10.655931802036466,4.24,2.0,2.95,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
epoch,1781874149.0128932,58,8.810833719442488e-05,1.9080750942230225,0.08338204771280289,0.6485081911087036,0.08535706996917725,0.12006443738937378,0.005401644855737686,0.0656251534819603,0.028597001454909333,0.055137666256289096,0.32577891771433376,7748,132773,23783,140521,12669,0,11.091719946325677,4.226666666666667,2.0,2.966666666666667,0.1,1.0,20,30,60,0.0001,bf16,True,False,True
