type,time,epoch,lr,train_loss,train_loss_bbox,train_loss_giou,train_loss_score,val_loss,val_loss_bbox,val_loss_giou,val_loss_score,map50,map50_95,precision,recall,tp,fp,num_gt,num_pred,valid_samples,skipped_empty_gt,avg_selected_per_sample,lambda_bbox,lambda_giou,lambda_score,pos_weight
epoch,1781530686.9391325,16,9.937144980244383e-05,2.046156875863073,0.11663405745376886,0.6764309444947049,0.11912347942032302,2.1975548495773713,0.13591409635711274,0.70638580642396,0.11841858835476968,0.0,0.0,0.0,0.0,0,0,14524,0,7680,0,0.0,4.786666666666667,2.0,1.1333333333333333,1.4266666666666667
epoch,1781533262.64321,17,9.928809328671226e-05,2.0455432708123373,0.11664393939308962,0.6755016812929449,0.120665238840836,2.178773334757848,0.13106583175954944,0.7082642216254214,0.11967062660859841,0.0,0.0,0.0,0.0,0,0,14524,0,7680,0,0.0,4.773333333333333,2.0,1.1416666666666666,1.4533333333333334
epoch,1781535854.2392282,18,9.919958973361781e-05,2.0647054135076757,0.11891276914455669,0.6786789914188076,0.1228892383620394,2.1787705364627667,0.1319597078448472,0.705403353489766,0.12159616722151487,0.021878521889448166,0.009403904292412335,0.23981640849110727,0.08633985128063894,1254,3975,14524,5229,7680,0,0.680859375,4.76,2.0,1.15,1.48
epoch,1781538436.1824205,19,9.91059488792079e-05,2.0562295241349138,0.11818627641602138,0.6756927133582554,0.12418987235742711,2.1974665050705275,0.13430262796905343,0.7085017464594031,0.12343013309168094,0.0007265234598889947,0.00016241438715951516,0.27058823529411763,0.0015835857890388323,23,62,14524,85,7680,0,0.011067708333333334,4.746666666666667,2.0,1.1583333333333332,1.5066666666666668
epoch,1781541027.432439,20,9.900718102467117e-05,2.063199905368629,0.1182292277878231,0.6781647124969571,0.12621614338492543,2.193164832739517,0.13258106775247877,0.7088936356865246,0.1267090365996189,0.00028340640710666776,2.8340640710666776e-05,0.19047619047619047,0.000550812448361333,8,34,14524,42,7680,0,0.00546875,4.733333333333333,2.0,1.1666666666666667,1.5333333333333332
epoch,1781543592.9334369,21,9.890329703520439e-05,2.1142518489947566,0.12362386234171502,0.6902941649278456,0.12779482710156886,2.336267775808922,0.14982877430774158,0.7409419744755282,0.12526982774807496,0.0,0.0,0.0,0.0,0,0,14524,0,7680,0,0.0,4.72,2.0,1.175,1.56
epoch,1781546155.6506062,22,9.8794308338817e-05,2.112275274602133,0.12332596417051322,0.689490715625098,0.12916028550634645,2.220116119756542,0.13798796191618712,0.7087245129538003,0.12946798788345973,0.003917244728654623,0.001003306615166366,0.35051546391752575,0.00936381162214266,136,252,14524,388,7680,0,0.050520833333333334,4.706666666666667,2.0,1.1833333333333333,1.5866666666666667
epoch,1781548715.7729766,23,9.868022692507423e-05,2.1355991442360063,0.12588214069379633,0.694183392334953,0.13126617718978936,2.2377220493073415,0.1395581078720326,0.7133952782517581,0.13085773114039742,0.0,0.0,0.0,0.0,0,0,14524,0,7680,0,0.0,4.693333333333333,2.0,1.1916666666666667,1.6133333333333333
epoch,1781551274.3164325,24,9.856106534377785e-05,2.10657446135913,0.12234643178180604,0.6872818251657329,0.13285793857585912,2.2507202937973267,0.13760430789364483,0.725699744220221,0.1294438845308667,0.0023533899802714586,0.0007060169940814376,0.45925925925925926,0.00426879647480033,62,73,14524,135,7680,0,0.017578125,4.68,2.0,1.2,1.6400000000000001
epoch,1781553822.932343,25,9.843683670358583e-05,2.1239758444815955,0.12353343552603456,0.6928686568059803,0.13386138999951092,2.292825483274881,0.14282601518142554,0.732698737765954,0.13316409887200353,0.0,0.0,0.0,0.0,0,0,14524,0,7680,0,0.0,4.666666666666667,2.0,1.2083333333333333,1.6666666666666665
epoch,1781556379.0864267,26,9.83075546705702e-05,2.169872838725182,0.12940471061776518,0.7010512639126277,0.1361154019597984,2.397882651311882,0.15640087203226155,0.7536127452428142,0.13386722509702198,0.0034277192316949368,0.001008190235006623,0.32571428571428573,0.007849077389148995,114,236,14524,350,7680,0,0.045572916666666664,4.653333333333333,2.0,1.2166666666666668,1.6933333333333334
epoch,1781558933.582409,27,9.817323346671365e-05,2.1969238605260513,0.1315233147959881,0.7088573950282271,0.13791094127930426,2.379875404214618,0.1514604106119768,0.7537361340823047,0.13847089476055569,0.0020332378335297108,0.0007863830174756004,0.41007194244604317,0.003924538694574498,57,82,14524,139,7680,0,0.018098958333333335,4.64,2.0,1.225,1.72
epoch,1781561483.9094183,28,9.803388786834513e-05,2.1251545306585506,0.12355073689921713,0.6910565271609939,0.1389838501217421,2.2785513633768066,0.14142395878290626,0.7263262440083604,0.13911678856991308,6.885155744384974e-05,2.065546723315492e-05,1.0,6.885155604516663e-05,1,0,14524,1,7680,0,0.00013020833333333333,4.626666666666667,2.0,1.2333333333333334,1.7466666666666666
epoch,1781564044.6394384,29,9.788953320451416e-05,2.1409301234312723,0.124640556309537,0.6954361042475592,0.1409794591171331,2.3258182085448444,0.14764137645404918,0.7348408989156737,0.14095372388214625,0.0037579324562102556,0.0010665291963960044,0.31105990783410137,0.009294960066097493,135,299,14524,434,7680,0,0.05651041666666667,4.613333333333333,2.0,1.2416666666666667,1.7733333333333334
epoch,1781566589.9175355,30,9.774018535530471e-05,2.145805784969363,0.1250825508117413,0.6959617964265253,0.14280197698780728,2.545468543928982,0.17295078152315596,0.7849713376619749,0.1439618330514717,0.0,0.0,0.0,0.0,0,0,14524,0,7680,0,0.0,4.6,2.0,1.25,1.8
epoch,1781569155.207313,31,9.75858607500881e-05,2.1665389614393535,0.12762644189893682,0.6995104533718283,0.14474552485008463,2.3354677865752067,0.14815654916538282,0.7364406304791419,0.14546370688317853,0.0,0.0,0.0,0.0,0,0,14524,0,7680,0,0.0,4.586666666666667,2.0,1.2583333333333333,1.8266666666666667
epoch,1781574460.803162,1,9.99992726338421e-05,3.8761932225588493,0.16860034224687082,0.8136081685702307,0.6982924901224689,3.5134004077526053,0.13482910337284057,0.7216456441039388,0.6931047939667196,0.027275167405605316,0.009170187048493973,0.013857969948810356,0.472321674469843,6860,488162,14524,495022,7680,0,64.45598958333333,4.986666666666666,2.0,2.0166666666666666,2.04
epoch,1781578276.233339,2,9.999390296633516e-05,3.4512611816594254,0.12417047396313954,0.712678668461828,0.692637397414811,3.4253735227717295,0.12496294977138703,0.6983589846076388,0.6920523803041438,0.042836084961891174,0.015759891161906125,0.014585779238798642,0.47046268245662354,6833,461637,14524,468470,7680,0,60.998697916666664,4.973333333333334,2.0,2.033333333333333,2.08
epoch,1781581943.4669771,3,9.998330861716445e-05,3.354047213702892,0.11472321026657176,0.6836494478892574,0.6915713295826216,3.4511542095228878,0.12976647816443196,0.694985328975952,0.6914838286436568,0.039761073887348175,0.012795848265147925,0.014458846417789092,0.4395483337923437,6384,435145,14524,441529,7680,0,57.49075520833333,4.96,2.0,2.05,2.12
epoch,1781585469.5171573,4,9.996749075178701e-05,3.334730096659948,0.11257520449070495,0.6748085457721933,0.6910843703619534,3.3920914825014394,0.12059800066947561,0.6835182842262315,0.6912081502754279,0.057487666606903076,0.01882784964509483,0.01801007526985646,0.526025888185073,7640,416567,14524,424207,7680,0,55.235286458333334,4.946666666666666,2.0,2.066666666666667,2.16
epoch,1781589245.9650545,5,9.994645111028539e-05,3.332203587177813,0.11143048638702284,0.6718304664051414,0.6906331061866411,3.3770368755465805,0.11746250990557136,0.6791652673479132,0.6908278426136634,0.05119481682777405,0.017835655761700764,0.014506952529490587,0.45469567612228035,6604,448626,14524,455230,7680,0,59.274739583333336,4.933333333333334,2.0,2.0833333333333335,2.2
epoch,1781592889.5016274,6,9.992019200717618e-05,3.3495719936621917,0.11248824831172813,0.6731815948915789,0.6903650864637324,3.38550590535607,0.11982363017718073,0.6731768877838146,0.6902952042568211,0.045684706419706345,0.015467690373407094,0.01922042199364306,0.5041999449187552,7323,373678,14524,381001,7680,0,49.60950520833333,4.92,2.0,2.1,2.24
epoch,1781596389.61806,7,9.98887163311556e-05,3.343725843741901,0.11114511717831764,0.6690627839730079,0.6898810871753743,3.4018459344151046,0.12065282361487849,0.6744259756641707,0.6902319034467442,0.05575018376111984,0.01839133156360049,0.01964868393852885,0.5170063343431561,7509,374654,14524,382163,7680,0,49.760807291666666,4.906666666666666,2.0,2.1166666666666667,2.2800000000000002
epoch,1781599839.3603199,8,9.985202754478146e-05,3.3648994028277333,0.11233303008049403,0.6718916692821609,0.6897342246811214,3.439797621935305,0.12415609203133206,0.6802421212572642,0.6898950678155278,0.045726314187049866,0.013833264259835687,0.018183341054775124,0.4783117598457725,6947,375106,14524,382053,7680,0,49.746484375,4.8933333333333335,2.0,2.1333333333333333,2.32
epoch,1781603587.5444148,9,9.981012968409247e-05,3.3760856300465725,0.11297745935629436,0.6713281204251488,0.6893485142966552,3.455816871138534,0.12224360693815267,0.6885749112739407,0.6893572889719949,0.052894290536642075,0.01785144016284903,0.021550643274163714,0.5029606169099422,7305,331664,14524,338969,7680,0,44.13658854166667,4.88,2.0,2.15,2.36
epoch,1781607128.1592038,10,9.97630273581641e-05,3.368605293527098,0.11146886142534151,0.6670063388308208,0.6886665029725472,3.46741468120705,0.12484715350626055,0.6836063730991399,0.6888980242339048,0.04705261439085007,0.01748242837493308,0.017529672117652186,0.49848526576700636,7240,405774,14524,413014,7680,0,53.77786458333333,4.866666666666666,2.0,2.1666666666666665,2.4
epoch,1781610631.6064122,11,9.97107257486017e-05,3.3636038516228863,0.10948867165168108,0.664783206793703,0.6882377210667219,3.451831855406665,0.1195784615337463,0.6838828427058579,0.688723042908341,0.0380667969584465,0.011568193523817171,0.018523032516067375,0.5284356926466538,7675,406674,14524,414349,7680,0,53.95169270833333,4.8533333333333335,2.0,2.183333333333333,2.44
epoch,1781614229.9525485,12,9.965323060897025e-05,3.3913482048627506,0.11225298408215355,0.6675523115582137,0.6876995872370072,3.5305099181755626,0.13037963606525363,0.6928415970613409,0.68808601518171,0.03792674466967583,0.013046401413339482,0.019584881761802907,0.45139080143211235,6556,328192,14524,334748,7680,0,43.586979166666666,4.84,2.0,2.2,2.48
